Player Name,Position,Player URL
Philipp Köhn,GK,https://fbref.com/en/players/ff74841d/Philipp-Kohn
Denis Zakaria,MF,https://fbref.com/en/players/384d58d9/Denis-Zakaria
Eliesse Ben Seghir,"MF,FW",https://fbref.com/en/players/3bd65247/Eliesse-Ben-Seghir
Vanderson,DF,https://fbref.com/en/players/ee45fd85/Vanderson
Thilo Kehrer,DF,https://fbref.com/en/players/51dbeea9/Thilo-Kehrer
Takumi Minamino,MF,https://fbref.com/en/players/f833a830/Takumi-Minamino
Lamine Camara,MF,https://fbref.com/en/players/19c2ffa4/Lamine-Camara
Folarin Balogun,FW,https://fbref.com/en/players/31822f8c/Folarin-Balogun
Maghnes Akliouche,"FW,MF",https://fbref.com/en/players/b625b241/Maghnes-Akliouche
Mohammed Salisu,DF,https://fbref.com/en/players/0b33f6ad/Mohammed-Salisu
Wilfried Singo,DF,https://fbref.com/en/players/8b609c34/Wilfried-Singo
Breel Embolo,FW,https://fbref.com/en/players/0b4f388a/Breel-Embolo
Caio Henrique Oliveira Silva,DF,https://fbref.com/en/players/30af8b93/Caio-Henrique-Oliveira-Silva
Aleksandr Golovin,MF,https://fbref.com/en/players/3708e9fa/Aleksandr-Golovin
Ismail Jakobs,DF,https://fbref.com/en/players/a0415710/Ismail-Jakobs
Soungoutou Magassa,MF,https://fbref.com/en/players/dfc5d4fa/Soungoutou-Magassa
Jordan Teze,DF,https://fbref.com/en/players/82e9b1bb/Jordan-Teze
Christian Mawissa,DF,https://fbref.com/en/players/2c70d915/Christian-Mawissa
Kassoum Ouattara,"DF,FW",https://fbref.com/en/players/6620c21a/Kassoum-Ouattara
George Ilenikhena,"FW,MF",https://fbref.com/en/players/78c3ad07/George-Ilenikhena
Krépin Diatta,DF,https://fbref.com/en/players/8104e41e/Krepin-Diatta
Eliot Matazo,MF,https://fbref.com/en/players/15944afd/Eliot-Matazo
Edan Diop,MF,https://fbref.com/en/players/37143438/Edan-Diop
Yann Liénard,GK,https://fbref.com/en/players/5216036b/Yann-Lienard
Radosław Majecki,GK,https://fbref.com/en/players/20de219a/Radoslaw-Majecki
Guillermo Maripán,DF,https://fbref.com/en/players/d9764034/Guillermo-Maripan
Willian Pacho,DF,https://fbref.com/en/players/ecbe2839/Willian-Pacho
Achraf Hakimi,DF,https://fbref.com/en/players/e42d61c7/Achraf-Hakimi
João Neves,MF,https://fbref.com/en/players/c2a15a27/Joao-Neves
Warren Zaïre-Emery,"MF,DF",https://fbref.com/en/players/6b9960cf/Warren-Zaire-Emery
Bradley Barcola,FW,https://fbref.com/en/players/a0d55a09/Bradley-Barcola
Gianluigi Donnarumma,GK,https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma
Marquinhos,DF,https://fbref.com/en/players/d5f2f82b/Marquinhos
Lucas Beraldo,DF,https://fbref.com/en/players/b8aedf06/Lucas-Beraldo
Ousmane Dembélé,FW,https://fbref.com/en/players/b19db005/Ousmane-Dembele
Lee Kang-in,"FW,MF",https://fbref.com/en/players/8455ad90/Lee-Kang-in
Vitinha,MF,https://fbref.com/en/players/3b029691/Vitinha
Marco Asensio,"FW,MF",https://fbref.com/en/players/45af8a54/Marco-Asensio
Fabián Ruiz Peña,MF,https://fbref.com/en/players/c0c7ff58/Fabian-Ruiz-Pena
Nuno Mendes,DF,https://fbref.com/en/players/f20e4cc9/Nuno-Mendes
Randal Kolo Muani,FW,https://fbref.com/en/players/c0b3669f/Randal-Kolo-Muani
Matvei Safonov,GK,https://fbref.com/en/players/d97b252e/Matvei-Safonov
Désiré Doué,FW,https://fbref.com/en/players/9e7483ff/Desire-Doue
Milan Škriniar,DF,https://fbref.com/en/players/30f5ffa9/Milan-Skriniar
Ibrahim Mbaye,"FW,MF",https://fbref.com/en/players/201b4ee4/Ibrahim-Mbaye
Yoram Zague,DF,https://fbref.com/en/players/5ce497e2/Yoram-Zague
Gonçalo Ramos,FW,https://fbref.com/en/players/f63cda26/Goncalo-Ramos
Senny Mayulu,"MF,DF",https://fbref.com/en/players/bac89b96/Senny-Mayulu
Naoufel El Hannach,DF,https://fbref.com/en/players/f9b69340/Naoufel-El-Hannach
Carlos Soler,MF,https://fbref.com/en/players/fed17f5a/Carlos-Soler
Arnau Tenas,GK,https://fbref.com/en/players/30670b0e/Arnau-Tenas
Robert Lewandowski,FW,https://fbref.com/en/players/8d78e732/Robert-Lewandowski
Raphinha,"FW,MF",https://fbref.com/en/players/3423f250/Raphinha
Jules Koundé,DF,https://fbref.com/en/players/4d1666ff/Jules-Kounde
Lamine Yamal,FW,https://fbref.com/en/players/82ec26c1/Lamine-Yamal
Iñigo Martínez,DF,https://fbref.com/en/players/3fc45c73/Inigo-Martinez
Pau Cubarsí,DF,https://fbref.com/en/players/cc7888f3/Pau-Cubarsi
Pedri,MF,https://fbref.com/en/players/0d9b2d31/Pedri
Alejandro Balde,DF,https://fbref.com/en/players/5ccc9672/Alejandro-Balde
Marc-André ter Stegen,GK,https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen
Marc Casado,MF,https://fbref.com/en/players/2ef08833/Marc-Casado
Ferrán Torres,FW,https://fbref.com/en/players/9e1035f8/Ferran-Torres
Eric García,MF,https://fbref.com/en/players/2bed3eab/Eric-Garcia
Iñaki Peña,GK,https://fbref.com/en/players/cc1c5035/Inaki-Pena
Gerard Martín,DF,https://fbref.com/en/players/b792c59d/Gerard-Martin
Marc Bernal,MF,https://fbref.com/en/players/29117812/Marc-Bernal
Pablo Torre,MF,https://fbref.com/en/players/04e531b6/Pablo-Torre
Dani Olmo,MF,https://fbref.com/en/players/ae44e8e2/Dani-Olmo
Sergi Dominguez,DF,https://fbref.com/en/players/88507352/Sergi-Dominguez
Pau Victor Delgado,FW,https://fbref.com/en/players/e6e7c819/Pau-Victor-Delgado
Héctor Fort,DF,https://fbref.com/en/players/2e31f3a6/Hector-Fort
Fermin López,MF,https://fbref.com/en/players/c1fe5f0b/Fermin-Lopez
Andreas Christensen,DF,https://fbref.com/en/players/1cb49278/Andreas-Christensen
Ansu Fati,FW,https://fbref.com/en/players/0ba976e4/Ansu-Fati
Frenkie de Jong,MF,https://fbref.com/en/players/1bacc518/Frenkie-de-Jong
Ander Astralaga,GK,https://fbref.com/en/players/031e0283/Ander-Astralaga
Andres Cuenca,DF,https://fbref.com/en/players/2eefd1b3/Andres-Cuenca
Guillermo Fernandez,MF,https://fbref.com/en/players/4390bf25/Guillermo-Fernandez
Toni Fernández,MF,https://fbref.com/en/players/285ff324/Toni-Fernandez
Diego Kochen,GK,https://fbref.com/en/players/497144d6/Diego-Kochen
Álex Valle,DF,https://fbref.com/en/players/97022551/Alex-Valle
Áron Yaakobishvili,GK,https://fbref.com/en/players/0b8c9180/Aron-Yaakobishvili
Joshua Kimmich,"MF,DF",https://fbref.com/en/players/49296448/Joshua-Kimmich
Dayot Upamecano,DF,https://fbref.com/en/players/d248cd8f/Dayot-Upamecano
Kim Min-jae,DF,https://fbref.com/en/players/e0f8151c/Kim-Min-jae
Harry Kane,FW,https://fbref.com/en/players/21a66f6a/Harry-Kane
Manuel Neuer,GK,https://fbref.com/en/players/8778c910/Manuel-Neuer
Michael Olise,"FW,MF",https://fbref.com/en/players/c4486bac/Michael-Olise
Aleksandar Pavlovic,MF,https://fbref.com/en/players/2658c82f/Aleksandar-Pavlovic
Serge Gnabry,"FW,MF",https://fbref.com/en/players/88e357ef/Serge-Gnabry
Jamal Musiala,MF,https://fbref.com/en/players/2c0558b8/Jamal-Musiala
Alphonso Davies,DF,https://fbref.com/en/players/d781d855/Alphonso-Davies
Raphaël Guerreiro,DF,https://fbref.com/en/players/048a1cbc/Raphael-Guerreiro
Kingsley Coman,"FW,MF",https://fbref.com/en/players/042e8a49/Kingsley-Coman
Sacha Boey,DF,https://fbref.com/en/players/6c8ddd52/Sacha-Boey
Thomas Müller,"MF,FW",https://fbref.com/en/players/3c6089ab/Thomas-Muller
João Palhinha,MF,https://fbref.com/en/players/a78ff07f/Joao-Palhinha
Konrad Laimer,"DF,MF",https://fbref.com/en/players/c1b7847c/Konrad-Laimer
Mathys Tel,"MF,FW",https://fbref.com/en/players/829aa60c/Mathys-Tel
Sven Ulreich,GK,https://fbref.com/en/players/7d3e7da6/Sven-Ulreich
Leroy Sané,FW,https://fbref.com/en/players/2b114be3/Leroy-Sane
Eric Dier,DF,https://fbref.com/en/players/ac861941/Eric-Dier
Leon Goretzka,DF,https://fbref.com/en/players/cc86b9a3/Leon-Goretzka
Adam Aznou,DF,https://fbref.com/en/players/e678d983/Adam-Aznou
Daniel Peretz,GK,https://fbref.com/en/players/3f29b3ba/Daniel-Peretz
Virgil van Dijk,DF,https://fbref.com/en/players/e06683ca/Virgil-van-Dijk
Ryan Gravenberch,MF,https://fbref.com/en/players/b8e740fb/Ryan-Gravenberch
Mohamed Salah,FW,https://fbref.com/en/players/e342ad68/Mohamed-Salah
Trent Alexander-Arnold,DF,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold
Alexis Mac Allister,MF,https://fbref.com/en/players/83d074ff/Alexis-Mac-Allister
Ibrahima Konaté,DF,https://fbref.com/en/players/5ed9b537/Ibrahima-Konate
Dominik Szoboszlai,MF,https://fbref.com/en/players/934e1968/Dominik-Szoboszlai
Alisson,GK,https://fbref.com/en/players/7a2e46a8/Alisson
Andrew Robertson,DF,https://fbref.com/en/players/2e4f5f03/Andrew-Robertson
Diogo Jota,FW,https://fbref.com/en/players/178ae8f8/Diogo-Jota
Luis Díaz,FW,https://fbref.com/en/players/4a1a9578/Luis-Diaz
Cody Gakpo,FW,https://fbref.com/en/players/1971591f/Cody-Gakpo
Curtis Jones,MF,https://fbref.com/en/players/4fb9c88f/Curtis-Jones
Darwin Núñez,FW,https://fbref.com/en/players/4d77b365/Darwin-Nunez
Kostas Tsimikas,DF,https://fbref.com/en/players/f315ca93/Kostas-Tsimikas
Caoimhín Kelleher,GK,https://fbref.com/en/players/62d7ef38/Caoimhin-Kelleher
Jarell Quansah,DF,https://fbref.com/en/players/4125cb98/Jarell-Quansah
Conor Bradley,DF,https://fbref.com/en/players/bbd67769/Conor-Bradley
Federico Chiesa,FW,https://fbref.com/en/players/b0f7e36c/Federico-Chiesa
Vitezslav Jaros,GK,https://fbref.com/en/players/12bb4d6a/Vitezslav-Jaros
Harvey Elliott,FW,https://fbref.com/en/players/b9e1436c/Harvey-Elliott
Wataru Endo,MF,https://fbref.com/en/players/c149016b/Wataru-Endo
Joe Gomez,DF,https://fbref.com/en/players/7a11550b/Joe-Gomez
Kai Havertz,"FW,MF",https://fbref.com/en/players/fed7cb61/Kai-Havertz
Gabriel Magalhães,DF,https://fbref.com/en/players/67ac5bb8/Gabriel-Magalhaes
David Raya,GK,https://fbref.com/en/players/98ea5115/David-Raya
William Saliba,DF,https://fbref.com/en/players/972aeb2a/William-Saliba
Thomas Partey,"MF,DF",https://fbref.com/en/players/529f49ab/Thomas-Partey
Bukayo Saka,"MF,FW",https://fbref.com/en/players/bc7dc64d/Bukayo-Saka
Declan Rice,MF,https://fbref.com/en/players/1c7012b8/Declan-Rice
Jurriën Timber,DF,https://fbref.com/en/players/41034650/Jurrien-Timber
Gabriel Martinelli,"MF,FW",https://fbref.com/en/players/48a5a5d6/Gabriel-Martinelli
Ben White,DF,https://fbref.com/en/players/35e413f1/Ben-White
Leandro Trossard,FW,https://fbref.com/en/players/38ceb24a/Leandro-Trossard
Riccardo Calafiori,DF,https://fbref.com/en/players/aded8e6f/Riccardo-Calafiori
Martin Ødegaard,MF,https://fbref.com/en/players/79300479/Martin-Odegaard
Jorginho,MF,https://fbref.com/en/players/45db685d/Jorginho
Raheem Sterling,"MF,FW",https://fbref.com/en/players/b400bde0/Raheem-Sterling
Gabriel Jesus,"FW,MF",https://fbref.com/en/players/b66315ae/Gabriel-Jesus
Oleksandr Zinchenko,DF,https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko
Mikel Merino,MF,https://fbref.com/en/players/d080ed5e/Mikel-Merino
Jakub Kiwior,DF,https://fbref.com/en/players/dc3e663e/Jakub-Kiwior
Ethan Nwaneri,"MF,FW",https://fbref.com/en/players/7f94982c/Ethan-Nwaneri
Takehiro Tomiyasu,DF,https://fbref.com/en/players/b3af9be1/Takehiro-Tomiyasu
Reiss Nelson,FW,https://fbref.com/en/players/c5bdb6e3/Reiss-Nelson
Myles Lewis-Skelly,DF,https://fbref.com/en/players/5dff6c28/Myles-Lewis-Skelly
Nathan Butler-Oyedeji,FW,https://fbref.com/en/players/3a686640/Nathan-Butler-Oyedeji
Ayden Heaven,MF,https://fbref.com/en/players/64e17fab/Ayden-Heaven
Ismeal Kabia,MF,https://fbref.com/en/players/6b15cf32/Ismeal-Kabia
Maldini Kacurri,DF,https://fbref.com/en/players/7be4311f/Maldini-Kacurri
Neto,GK,https://fbref.com/en/players/a9dc785c/Neto
Josh Nichols,DF,https://fbref.com/en/players/676cf55d/Josh-Nichols
Eddie Nketiah,FW,https://fbref.com/en/players/a53649b7/Eddie-Nketiah
Salah Oulad M'Hand,MF,https://fbref.com/en/players/b85c3273/Salah-Oulad-MHand
Aaron Ramsdale,GK,https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale
Tommy Setford,GK,https://fbref.com/en/players/d1a2e006/Tommy-Setford
Ederson,GK,https://fbref.com/en/players/3bb7b8b4/Ederson
Erling Haaland,FW,https://fbref.com/en/players/1f44ac21/Erling-Haaland
Manuel Akanji,DF,https://fbref.com/en/players/89ac64a6/Manuel-Akanji
Joško Gvardiol,DF,https://fbref.com/en/players/5ad50391/Josko-Gvardiol
Rúben Dias,DF,https://fbref.com/en/players/31c69ef1/Ruben-Dias
Bernardo Silva,"MF,FW",https://fbref.com/en/players/3eb22ec9/Bernardo-Silva
Mateo Kovačić,MF,https://fbref.com/en/players/79c0821a/Mateo-Kovacic
Rico Lewis,"MF,DF",https://fbref.com/en/players/b57e066e/Rico-Lewis
İlkay Gündoğan,MF,https://fbref.com/en/players/819b3158/Ilkay-Gundogan
Kevin De Bruyne,MF,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne
Jeremy Doku,FW,https://fbref.com/en/players/fffea3e5/Jeremy-Doku
Jack Grealish,"FW,MF",https://fbref.com/en/players/b0b4fd3e/Jack-Grealish
Sávio,FW,https://fbref.com/en/players/fe6e7156/Savio
Kyle Walker,DF,https://fbref.com/en/players/86dd77d1/Kyle-Walker
Phil Foden,"MF,FW",https://fbref.com/en/players/ed1e53f3/Phil-Foden
John Stones,"DF,MF",https://fbref.com/en/players/5eecec3d/John-Stones
Rodri,MF,https://fbref.com/en/players/6434f10d/Rodri
Matheus Nunes,"FW,MF",https://fbref.com/en/players/e6af02e0/Matheus-Nunes
Nathan Aké,DF,https://fbref.com/en/players/eaeca114/Nathan-Ake
James Mcatee,FW,https://fbref.com/en/players/96593e89/James-Mcatee
Scott Carson,GK,https://fbref.com/en/players/3e1550ee/Scott-Carson
Issa Kaboré,"DF,MF",https://fbref.com/en/players/c066d1a5/Issa-Kabore
Stefan Ortega,GK,https://fbref.com/en/players/c1242d4e/Stefan-Ortega
Nico O’Reilly,FW,https://fbref.com/en/players/91ca4a16/Nico-OReilly
Robin Koch,DF,https://fbref.com/en/players/ea6bc03a/Robin-Koch
Rasmus Kristensen,"DF,MF",https://fbref.com/en/players/39769cff/Rasmus-Kristensen
Tuta,"DF,MF",https://fbref.com/en/players/35d64857/Tuta
Arthur Theate,DF,https://fbref.com/en/players/df8d6029/Arthur-Theate
Hugo Larsson,MF,https://fbref.com/en/players/00c9a283/Hugo-Larsson
Omar Marmoush,"FW,MF",https://fbref.com/en/players/0e0102eb/Omar-Marmoush
Ellyes Skhiri,MF,https://fbref.com/en/players/c2211709/Ellyes-Skhiri
Hugo Ekitike,FW,https://fbref.com/en/players/5b92d896/Hugo-Ekitike
Fares Chaïbi,"MF,FW",https://fbref.com/en/players/357103bd/Fares-Chaibi
Kauã Santos,GK,https://fbref.com/en/players/c7c50cb5/Kaua-Santos
Mario Götze,"FW,MF",https://fbref.com/en/players/9efa1d25/Mario-Gotze
Kevin Trapp,GK,https://fbref.com/en/players/ce17b5eb/Kevin-Trapp
Ansgar Knauff,MF,https://fbref.com/en/players/19a967ab/Ansgar-Knauff
Niels Nkounkou,"MF,DF",https://fbref.com/en/players/f5b281e7/Niels-Nkounkou
Igor Matanovic,FW,https://fbref.com/en/players/948e1292/Igor-Matanovic
Junior Dina Ebimbe,"FW,MF",https://fbref.com/en/players/95bb6ddc/Junior-Dina-Ebimbe
Aurele Amenda,DF,https://fbref.com/en/players/1227a22d/Aurele-Amenda
Mahmoud Dahoud,MF,https://fbref.com/en/players/db4ed67b/Mahmoud-Dahoud
Can Uzun,"FW,MF",https://fbref.com/en/players/1d0b134a/Can-Uzun
Jean Mattéo Bahoya,MF,https://fbref.com/en/players/70d4c949/Jean-Matteo-Bahoya
Oscar Højlund,MF,https://fbref.com/en/players/3e2bbae6/Oscar-Hojlund
Nnamdi Collins,DF,https://fbref.com/en/players/8eb5c94c/Nnamdi-Collins
Nathaniel Brown,DF,https://fbref.com/en/players/abc79c47/Nathaniel-Brown
Timothy Chandler,"DF,MF",https://fbref.com/en/players/b3b7f5a6/Timothy-Chandler
Jens Grahl,GK,https://fbref.com/en/players/f26dee6b/Jens-Grahl
Federico Valverde,MF,https://fbref.com/en/players/0959c2a2/Federico-Valverde
Éder Militão,DF,https://fbref.com/en/players/2784f898/Eder-Militao
Antonio Rüdiger,DF,https://fbref.com/en/players/18b896d6/Antonio-Rudiger
Vinicius Júnior,FW,https://fbref.com/en/players/7111d552/Vinicius-Junior
Thibaut Courtois,GK,https://fbref.com/en/players/1840e36d/Thibaut-Courtois
Aurélien Tchouaméni,"MF,DF",https://fbref.com/en/players/4f255115/Aurelien-Tchouameni
Kylian Mbappé,FW,https://fbref.com/en/players/42fd9c7f/Kylian-Mbappe
Dani Carvajal,DF,https://fbref.com/en/players/4958bfb2/Dani-Carvajal
Ferland Mendy,DF,https://fbref.com/en/players/3cefcaef/Ferland-Mendy
Rodrygo,FW,https://fbref.com/en/players/8f5e92a6/Rodrygo
Luka Modrić,MF,https://fbref.com/en/players/6025fab1/Luka-Modric
Jude Bellingham,MF,https://fbref.com/en/players/57d88cf9/Jude-Bellingham
Arda Güler,"MF,FW",https://fbref.com/en/players/3741ca58/Arda-Guler
Fran Garcia,DF,https://fbref.com/en/players/7226539b/Fran-Garcia
Lucas Vázquez,DF,https://fbref.com/en/players/fd51b456/Lucas-Vazquez
Brahim Díaz,"FW,MF",https://fbref.com/en/players/407feb71/Brahim-Diaz
Andriy Lunin,GK,https://fbref.com/en/players/3061e1ec/Andriy-Lunin
Eduardo Camavinga,MF,https://fbref.com/en/players/7b9c2d84/Eduardo-Camavinga
Dani Ceballos,MF,https://fbref.com/en/players/c0617e2b/Dani-Ceballos
Endrick,FW,https://fbref.com/en/players/a2728fbf/Endrick
Jesús Vallejo,DF,https://fbref.com/en/players/c2111b45/Jesus-Vallejo
Chema,MF,https://fbref.com/en/players/39ef21fa/Chema
Fran,GK,https://fbref.com/en/players/5e550a91/Fran
David Jiménez,DF,https://fbref.com/en/players/aa2aab45/David-Jimenez
Sergio Mestre,GK,https://fbref.com/en/players/b2cd9dff/Sergio-Mestre
Jacobo Ramón,DF,https://fbref.com/en/players/4772b1d1/Jacobo-Ramon
Giovanni Di Lorenzo,DF,https://fbref.com/en/players/230a2fac/Giovanni-Di-Lorenzo
Amir Rrahmani,DF,https://fbref.com/en/players/4b3e1a38/Amir-Rrahmani
Andre-Frank Zambo Anguissa,MF,https://fbref.com/en/players/6bb2c084/Andre-Frank-Zambo-Anguissa
Stanislav Lobotka,MF,https://fbref.com/en/players/e1cbb531/Stanislav-Lobotka
Matteo Politano,"MF,FW",https://fbref.com/en/players/5e861944/Matteo-Politano
Khvicha Kvaratskhelia,"MF,FW",https://fbref.com/en/players/dea88efd/Khvicha-Kvaratskhelia
Alessandro Buongiorno,DF,https://fbref.com/en/players/4ae67f27/Alessandro-Buongiorno
Mathías Olivera,DF,https://fbref.com/en/players/41c12f75/Mathias-Olivera
Alex Meret,GK,https://fbref.com/en/players/9413b19f/Alex-Meret
Pasquale Mazzocchi,DF,https://fbref.com/en/players/eb0ec070/Pasquale-Mazzocchi
Romelu Lukaku,FW,https://fbref.com/en/players/5eae500a/Romelu-Lukaku
Scott McTominay,MF,https://fbref.com/en/players/d93c2511/Scott-McTominay
Elia Caprile,GK,https://fbref.com/en/players/97d7afbd/Elia-Caprile
Giacomo Raspadori,"FW,MF",https://fbref.com/en/players/6e058f06/Giacomo-Raspadori
Leonardo Spinazzola,DF,https://fbref.com/en/players/3626daea/Leonardo-Spinazzola
Giovanni Simeone,FW,https://fbref.com/en/players/343c0d52/Giovanni-Simeone
Juan Jesus,DF,https://fbref.com/en/players/79083382/Juan-Jesus
David Neres,"MF,FW",https://fbref.com/en/players/4f1e6a0b/David-Neres
Billy Gilmour,MF,https://fbref.com/en/players/df10e27c/Billy-Gilmour
Michael Folorunsho,FW,https://fbref.com/en/players/c391a179/Michael-Folorunsho
Walid Cheddira,FW,https://fbref.com/en/players/0545a08e/Walid-Cheddira
Cyril Ngonge,DF,https://fbref.com/en/players/2b8360f1/Cyril-Ngonge
Nikita Contini Baranovsky,GK,https://fbref.com/en/players/e95069bb/Nikita-Contini-Baranovsky
Gianluca Gaetano,"FW,MF",https://fbref.com/en/players/3b387cc7/Gianluca-Gaetano
Gennaro Iaccarino,MF,https://fbref.com/en/players/5b079870/Gennaro-Iaccarino
Rafa Marín,DF,https://fbref.com/en/players/3239a8ed/Rafa-Marin
Francesco Mezzoni,FW,https://fbref.com/en/players/bb0b6521/Francesco-Mezzoni
Coli Saco,MF,https://fbref.com/en/players/95df20b2/Coli-Saco
Claudio Turi,GK,https://fbref.com/en/players/193a5d9c/Claudio-Turi
