player_name,Position,Age
Denis Zakaria,DM,27
Eliesse Ben Seghir,LW,19
Vanderson,RB,23
Thilo Kehrer,CB,28
Takumi Minamino,LW,29
Lamine Camara,CM,20
Folarin Balogun,CF,23
Maghnes Akliouche,RW,22
Mohammed Salisu,CB,25
Wilfried Singo,CB,23
Breel Embolo,CF,27
Caio Henrique Oliveira Silva,LB,27
Aleksandr Golovin,AM,28
Ismail Jakobs,LB,25
Soungoutou Magassa,DM,21
Jordan Teze,RB,25
Christian Mawissa,CB,19
Kassoum Ouattara,LB,20
George Ilenikhena,CF,18
Krépin Diatta,RW,25
Guillermo Maripán,CB,30
Guillermo Maripán,CB,30
Willian Pacho,CB,23
Achraf Hakimi,RB,25
João Neves,DM,20
Warren Zaïre-Emery,CM,18
Bradley Barcola,LW,22
Marquinhos,CB,30
Lucas Beraldo,CB,20
Ousmane Dembélé,RW,27
Lee Kang-in,AM,23
Vitinha,CM,24
Marco Asensio,RW,28
Fabián Ruiz,CM,28
Nuno Mendes,LB,22
Randal Kolo Muani,CF,25
Désiré Doué,LW,19
Milan Škriniar,CB,29
Gonçalo Ramos,CF,23
Carlos Soler,CM,27
Robert Lewandowski,CF,36
Raphinha,LW,27
Jules Koundé,RB,25
Lamine Yamal,RW,17
Iñigo Martínez,CB,33
Pau Cubarsí,CB,17
Pedri,CM,21
Alejandro Balde,LB,21
Marc Casado,DM,21
Ferrán Torres,RW,24
Eric García,CB,23
Pablo Torre,AM,21
Dani Olmo,AM,26
Héctor Fort,RB,18
Fermin López,CM,21
Andreas Christensen,CB,28
Ansu Fati,LW,22
Frenkie de Jong,CM,27
Álex Valle,LB,20
Joshua Kimmich,DM,29
Dayot Upamecano,CB,26
Kim Min-jae,CB,27
Harry Kane,CF,31
Michael Olise,RW,22
Pavlovic,DM,20
Serge Gnabry,LW,29
Jamal Musiala,AM,21
Alphonso Davies,LB,23
Raphaël Guerreiro,LB,30
Kingsley Coman,LW,28
Sacha Boey,RB,24
Thomas Müller,SS,35
João Palhinha,DM,29
Konrad Laimer,CM,27
Mathys Tel,LW,19
Leroy Sané,RW,28
Eric Dier,CB,30
Leon Goretzka,CM,29
Virgil van Dijk,CB,33
Gravenberch,CM,22
Mohamed Salah,RW,32
Trent Alexander-Arnold,RB,26
Alexis Mac Allister,CM,25
Ibrahima Konaté,CB,25
Dominik Szoboszlai,CM,24
Andrew Robertson,LB,30
Diogo Jota,CF,27
Luis Díaz,LW,27
Cody Gakpo,LW,25
Curtis Jones,CM,23
Darwin Núñez,CF,25
Kostas Tsimikas,LB,28
Jarell Quansah,CB,21
Conor Bradley,RB,21
Federico Chiesa,RW,27
Harvey Elliott,CM,21
Wataru Endo,DM,31
Joe Gomez,CB,27
Kai Havertz,CF,25
Gabriel Magalhães,CB,26
William Saliba,CB,23
Thomas Partey,DM,31
Bukayo Saka,RW,23
Declan Rice,DM,25
Jurriën Timber,CB,23
Gabriel Martinelli,LW,23
Ben White,RB,27
Leandro Trossard,LW,29
Riccardo Calafiori,CB,22
Martin Ødegaard,AM,25
Jorginho,DM,32
Raheem Sterling,LW,29
Gabriel Jesus,CF,27
Oleksandr Zinchenko,LB,27
Mikel Merino,CM,28
Jakub Kiwior,CB,24
Takehiro Tomiyasu,RB,25
Eddie Nketiah,CF,25
Eddie Nketiah,CF,25
Erling Haaland,CF,24
Manuel Akanji,CB,29
Joško Gvardiol,LB,22
Rúben Dias,CB,27
Bernardo Silva,AM,30
Mateo Kovačić,CM,30
Rico Lewis,RB,19
İlkay Gündoğan,CM,34
Kevin De Bruyne,AM,33
Jeremy Doku,LW,22
Jack Grealish,LW,29
Sávio,RW,20
Kyle Walker,RB,34
Phil Foden,RW,24
John Stones,CB,30
Rodri,DM,28
Rodri Sánchez,RW,24
Matheus Nunes,CM,26
Nathan Aké,CB,29
James Mcatee,AM,22
Issa Kaboré,RB,23
Robin Koch,CB,28
Rasmus Kristensen,RB,27
Tuta,CB,25
Arthur Theate,CB,24
Hugo Larsson,CM,20
Omar Marmoush,CF,25
Ellyes Skhiri,DM,29
Hugo Ekitike,CF,22
Fares Chaïbi,AM,21
Mario Götze,AM,32
Ansgar Knauff,RW,22
Niels Nkounkou,LB,23
Igor Matanovic,CF,21
Junior Dina Ebimbe,RM,23
Mahmoud Dahoud,CM,28
Can Uzun,AM,18
Nathaniel Brown,LB,21
Valverde,CM,26
Éder Militão,CB,26
Antonio Rüdiger,CB,31
Vinicius Júnior,LW,24
Aurélien Tchouaméni,DM,24
Kylian Mbappé,CF,25
Dani Carvajal,RB,32
Ferland Mendy,LB,29
Rodrygo,RW,23
Luka Modrić,CM,39
Jude Bellingham,AM,21
Arda Güler,RW,19
Fran Garcia,LB,25
Lucas Vázquez,RB,33
Brahim Díaz,AM,25
Camavinga,CM,21
Dani Ceballos,CM,28
Endrick,CF,18
Giovanni Di Lorenzo,RB,31
Amir Rrahmani,CB,30
Andre-Frank Zambo Anguissa,CM,28
Stanislav Lobotka,DM,29
Matteo Politano,RW,31
Khvicha Kvaratskhelia,LW,23
Alessandro Buongiorno,CB,25
Mathías Olivera,LB,27
Pasquale Mazzocchi,RB,29
Romelu Lukaku,CF,31
Scott McTominay,CM,27
Scott McTominay,CM,27
Giacomo Raspadori,SS,24
Leonardo Spinazzola,LB,31
Giovanni Simeone,CF,29
Juan Jesus,CB,33
David Neres,RW,27
Billy Gilmour,DM,23
Michael Folorunsho,CM,26
Walid Cheddira,CF,26
Walid Cheddira,CF,26
Cyril Ngonge,RW,24
Gianluca Gaetano,AM,24
Gianluca Gaetano,AM,24
Rafa Marín,CB,22
Alessio Zerbin,LW,25
Xavi Simons,AM,21
David Raum,LB,26
Benjamin Šeško,CF,21
Amadou Haidara,CM,26
Loïs Openda,CF,24
Castello Lukeba,CB,21
Lukas Klostermann,CB,28
Willi Orban,CB,31
Nicolas Seiwald,CM,23
Lutsharel Geertruida,RB,24
Kevin Kampl,CM,34
Antonio Nusa,LW,19
Benjamin Henrichs,RB,27
Arthur Vermeeren,DM,19
Arthur Vermeeren,DM,19
Christoph Baumgartner,AM,25
Yussuf Poulsen,CF,30
Mohamed Simakan,CB,24
André Silva,CF,28
Elif Elmas,AM,25
Levi Colwill,CB,21
Moisés Caicedo,DM,22
Wesley Fofana,CB,23
Cole Palmer,AM,22
Marc Cucurella,LB,26
Nicolas Jackson,CF,23
Enzo Fernández,CM,23
Noni Madueke,RW,22
Malo Gusto,RB,21
Jadon Sancho,LW,24
Pedro Neto,RW,24
Christopher Nkunku,AM,26
Tosin Adarabioyo,CB,27
Axel Disasi,CB,26
Mykhailo Mudryk,LW,23
João Félix,SS,24
Kiernan Dewsbury-Hall,CM,26
Benoît Badiashile,CB,23
Cesare Casadei,CM,21
Pau Torres,CB,27
Youri Tielemans,CM,27
Morgan Rogers,AM,22
Ezri Konsa,CB,27
Ollie Watkins,CF,28
Lucas Digne,LB,31
Amadou Onana,DM,23
John McGinn,CM,30
Leon Bailey,RW,27
Jacob Ramsey,AM,23
Matty Cash,RB,27
Diego Carlos,CB,31
Ross Barkley,CM,30
Jaden Philogene Bidace,LW,22
Jhon Durán,CF,20
Ian Maatsen,LB,22
Dušan Vlahović,CF,24
Andrea Cambiaso,LB,24
Gleison Bremer,CB,27
Kenan Yıldız,SS,19
Manuel Locatelli,DM,26
Federico Gatti,CB,26
Koopmeiners,AM,26
Pierre Kalulu,CB,24
Nicolò Fagioli,CM,23
Nicolás González,RW,26
Juan David Cabal,LB,23
Weston McKennie,CM,26
Khéphren Thuram,CM,23
Douglas Luiz,CM,26
Francisco Conceição,RW,21
Danilo,CB,33
Danilo,CB,33
Timothy Weah,RM,24
Michael Amir Murillo,RB,28
Pierre Højbjerg,DM,29
Mason Greenwood,RW,23
Luis Henrique,LW,22
Geoffrey Kondogbia,DM,31
Amine Harit,AM,27
Lilian Brassier,CB,24
Elye Wahi,CF,21
Leonardo Balerdi,CB,25
Quentin Merlin,LB,22
Neal Maupay,CF,28
Ismaël Koné,CM,22
Valentin Rongier,CM,29
Pol Lirola,RB,27
Ulisses Garcia,LB,28
Valentin Carboni,AM,19
Jon Rowe,LW,21
Adrien Rabiot,CM,29
Bamo Meïté,CB,22
Faris Pemi Moumbagna,CF,24
Antoine Griezmann,CF,33
Koke,CM,32
Robin Le Normand,CB,27
Marcos Llorente,RM,29
José María Giménez,CB,29
Julián Álvarez,CF,24
Conor Gallagher,CM,24
Alexander Sørloth,CF,28
Samuel Lino,LM,24
Reinildo Mandava,LB,30
